County,Municipality,USC,STS,STH,Mailed,Not Mailed,Mailing Status
Delaware,Middletown Twp,5  ,9  ,168  ,1415,1,In Progress
Allegheny,Pine,17  ,38  ,28  ,1407,13,In Progress
Delaware,Upper Darby Twp,5  ,26  ,164  ,1405,0,In Progress
Dauphin,Swatara Twp,10  ,15  ,104  ,1379,0,In Progress
Cumberland,Carlisle Boro,10  ,34  ,199  ,1375,2,In Progress
Allegheny,West Deer,17  ,38  ,28  ,1367,16,In Progress
Allegheny,Hampton,17  ,38  ,28  ,1365,14,In Progress
Philadelphia,Philadelphia,2  ,2  ,202  ,1359,6,In Progress
Centre,Patton Twp,15  ,35  ,77  ,1347,2,In Progress
Dauphin,Harrisburg,10  ,15  ,103  ,1336,0,In Progress
Bucks,Lower Southampton Twp,1  ,6  ,142  ,1306,2,In Progress
Bucks,Plumstead Twp,1  ,10  ,143  ,1301,1,In Progress
Montgomery,East Norriton Twp,4  ,17  ,70  ,1299,5,In Progress
Allegheny,Plum,12  ,45  ,32  ,1298,11,In Progress
Washington,Cecil Twp,14  ,46  ,46  ,1292,3,In Progress
Lehigh,North Whitehall,7  ,16  ,183  ,1283,10,In Progress
Montgomery,Skippack Twp,4  ,24  ,70  ,1270,7,In Progress
Philadelphia,Philadelphia,2  ,2  ,203  ,1270,1,In Progress
Mercer,Hermitage,16  ,50  ,7  ,1257,12,In Progress
Philadelphia,Philadelphia,3  ,8  ,191  ,1257,3,In Progress
Allegheny,Wilkinsburg,17  ,43  ,34  ,1245,20,In Progress
Bucks,Richland Twp,1  ,16  ,145  ,1237,1,In Progress
Delaware,Aston Twp,5  ,9  ,161  ,1231,0,In Progress
York,Manchester Twp,10  ,31  ,47  ,1230,6,In Progress
Lancaster,Warwick Twp,11  ,36  ,37  ,1224,0,In Progress
Northampton,Hanover,7  ,14  ,135  ,1215,8,In Progress
Delaware,Upper Providence Twp,5  ,26  ,165  ,1212,0,In Progress
Philadelphia,Philadelphia,2  ,2  ,177  ,1203,2,In Progress
Allegheny,South Park,12  ,37  ,39  ,1195,16,In Progress
Indiana,White,14  ,41  ,62  ,1195,0,In Progress
Centre,College Twp,15  ,25  ,82  ,1190,6,In Progress
Butler,Butler Twp,16  ,21  ,11  ,1185,1,In Progress
York,Windsor Twp,11  ,28  ,94  ,1183,1,In Progress
York,Dover Twp,10  ,31  ,196  ,1177,63,In Progress
Allegheny,Plum,12  ,45  ,25  ,1177,13,In Progress
Northampton,Easton,7  ,18  ,136  ,1172,7,In Progress
Delaware,Upper Chichester Twp,5  ,9  ,159  ,1172,0,In Progress
Allegheny,Ohara,17  ,38  ,33  ,1156,12,In Progress
Lehigh,South Whitehall,7  ,14  ,132  ,1153,4,In Progress
Chester,East Goshen Twp,6  ,19  ,156  ,1152,0,In Progress
Montgomery,New Hanover Twp,4  ,24  ,147  ,1134,4,In Progress
Chester,Phoenixville Boro,6  ,44  ,26  ,1132,3,In Progress
Cumberland,Lower Allen Twp,10  ,31  ,88  ,1129,1,In Progress
Montgomery,Pottstown Boro,4  ,24  ,146  ,1124,5,In Progress
Montgomery,Worcester Twp,4  ,12  ,70  ,1119,5,In Progress
Franklin,Greene Twp,13  ,33  ,89  ,1117,2,In Progress
Bucks,Middletown Twp,1  ,6  ,140  ,1115,0,In Progress
Lackawanna,Dunmore,8  ,22  ,112  ,1114,0,In Progress
Montgomery,Montgomery Twp,1  ,12  ,53  ,1110,2,In Progress
Lehigh,South Whitehall,7  ,16  ,132  ,1102,9,In Progress
Lehigh,Allentown,7  ,14  ,22  ,1098,18,In Progress
Philadelphia,Philadelphia,3  ,1  ,10  ,1096,6,In Progress
Berks,Exeter Twp,6  ,11  ,128  ,1096,2,In Progress
Monroe,Coolbaugh,8  ,40  ,115  ,1091,23,In Progress
Montgomery,Lower Moreland Twp,4  ,12  ,152  ,1084,5,In Progress
Pike,Dingman Twp,8  ,20  ,139  ,1084,0,In Progress
Montgomery,Norristown Boro,5  ,17  ,54  ,1080,6,In Progress
Philadelphia,Philadelphia,3  ,4  ,194  ,1080,4,In Progress
Berks,Muhlenberg Twp,4  ,11  ,126  ,1078,0,In Progress
Philadelphia,Philadelphia,2  ,3  ,181  ,1076,2,In Progress
Allegheny,Richland,17  ,38  ,28  ,1075,9,In Progress
York,Springettsbury Twp,10  ,28  ,94  ,1072,2,In Progress
Chester,West Bradford Twp,6  ,19  ,158  ,1071,1,In Progress
Allegheny,Pittsburgh,12  ,43  ,19  ,1069,20,In Progress
Bucks,Doylestown Boro,1  ,10  ,29  ,1062,0,In Progress
Lehigh,Upper Milford,7  ,16  ,131  ,1060,8,In Progress
Monroe,Chestnuthill,8  ,40  ,176  ,1059,38,In Progress
Montgomery,Lower Pottsgrove Twp,4  ,24  ,146  ,1053,1,In Progress
Montgomery,West Norriton Twp,4  ,17  ,70  ,1052,8,In Progress
Allegheny,Jefferson Hills,12  ,37  ,39  ,1048,16,In Progress
Chester,Upper Uwchlan Twp,6  ,44  ,155  ,1044,1,In Progress
Westmoreland,Greensburg,14  ,39  ,57  ,1040,37,In Progress
Erie,Fairview Twp,16  ,49  ,3  ,1023,3,In Progress
Allegheny,Upper St Clair,12  ,37  ,42  ,1019,6,In Progress
Delaware,Ridley Twp,5  ,26  ,162  ,1014,0,In Progress
Allegheny,Kennedy,17  ,42  ,45  ,1010,10,In Progress
Montgomery,Lansdale Boro,4  ,12  ,53  ,1007,5,In Progress
Chester,Willistown Twp,6  ,19  ,157  ,1001,3,In Progress
York,York City,10  ,31  ,95  ,1001,2,In Progress
Fayette,South Union Twp,14  ,32  ,51  ,1000,0,In Progress
Allegheny,Elizabeth Twp,12  ,45  ,39  ,997,5,In Progress
Philadelphia,Philadelphia,2  ,1  ,182  ,993,1,In Progress
Berks,Wyomissing Boro,6  ,11  ,129  ,989,4,In Progress
Lancaster,Lancaster City,11  ,13  ,96  ,989,0,In Progress
York,Penn Twp,11  ,28  ,169  ,984,3,In Progress
Chester,East Bradford Twp,6  ,19  ,156  ,982,1,In Progress
Allegheny,Collier,17  ,37  ,45  ,978,10,In Progress
Franklin,Guilford Twp,13  ,33  ,89  ,974,1,In Progress
Northampton,Bushkill Twsp,7  ,14  ,138  ,970,8,In Progress
Delaware,Marple Twp,5  ,26  ,165  ,966,1,In Progress
Franklin,Chambersburg Boro,13  ,33  ,89  ,964,2,In Progress
Lancaster,Lancaster Twp,11  ,13  ,49  ,955,0,In Progress
Westmoreland,Rostraver Twp,14  ,39  ,58  ,952,0,In Progress
Beaver,Hopewell Twp,17  ,47  ,16  ,951,1,In Progress
Allegheny,Ohio,17  ,37  ,30  ,948,11,In Progress
Berks,Spring Twp,6  ,11  ,129  ,948,3,In Progress
Beaver,Center Twp,17  ,47  ,16  ,943,4,In Progress
Chester,East Whiteland Twp,6  ,44  ,167  ,939,1,In Progress
Chester,East Pikeland Twp,6  ,44  ,26  ,937,1,In Progress
Philadelphia,Philadelphia,2  ,2  ,180  ,926,1,In Progress
Northampton,Lower Saucon Twsp,7  ,18  ,131  ,923,8,In Progress
Allegheny,Marshall,17  ,37  ,28  ,920,15,In Progress
Bucks,Milford Twp,1  ,16  ,145  ,919,1,In Progress
Beaver,Economy Boro,17  ,47  ,14  ,918,6,In Progress
Lycoming,Williamsport City,9  ,23  ,83  ,916,3,In Progress
Luzerne,Kingston Boro,8  ,20  ,120  ,914,8,In Progress
York,Springettsbury Twp,10  ,28  ,47  ,910,2,In Progress
Bucks,New Britain Twp,1  ,10  ,143  ,910,0,In Progress
Lehigh,Emmaus,7  ,14  ,134  ,909,9,In Progress
Chester,Kennett Twp,6  ,9  ,158  ,909,1,In Progress
Philadelphia,Philadelphia,3  ,7  ,188  ,906,0,In Progress
Montgomery,Perkiomen Twp,4  ,24  ,70  ,904,7,In Progress
York,Newberry Twp,10  ,31  ,92  ,901,2,In Progress
Erie,Summit Twp,16  ,49  ,2  ,900,5,In Progress
Delaware,Chester City,5  ,9  ,159  ,894,0,In Progress
Cumberland,North Middleton Twp,10  ,34  ,199  ,893,0,In Progress
Northampton,Lehigh Twsp,7  ,14  ,183  ,890,7,In Progress
Centre,State College Boro,15  ,25  ,82  ,884,1,In Progress
Lawrence,New Castle,16  ,50  ,9  ,879,2,In Progress
Montgomery,Abington Twp,4  ,4  ,152  ,873,8,In Progress
Washington,North Strabane Twp,14  ,46  ,48  ,873,6,In Progress
Chester,Easttown Twp,6  ,19  ,157  ,872,6,In Progress
Philadelphia,Philadelphia,3  ,1  ,186  ,872,2,In Progress
Chester,Westtown Twp,6  ,9  ,160  ,871,1,In Progress
Cumberland,South Middleton Twp,10  ,34  ,87  ,871,0,In Progress
Bucks,Bedminster Twp,1  ,16  ,143  ,868,0,In Progress
Luzerne,Dallas Twp,8  ,20  ,120  ,863,4,In Progress
York,Spring Garden Twp,10  ,28  ,95  ,862,2,In Progress
Allegheny,Pittsburgh,12  ,42  ,20  ,858,9,In Progress
Lawrence,Neshannock Twp,16  ,50  ,9  ,855,1,In Progress
Bucks,Northampton Twp,1  ,6  ,142  ,853,0,In Progress
Delaware,Marple Twp,5  ,26  ,166  ,851,0,In Progress
Luzerne,Plains Twp,8  ,22  ,121  ,847,10,In Progress
Northampton,Upper Nazareth,7  ,18  ,137  ,846,11,In Progress
Chester,West Brandywine Twp,6  ,44  ,155  ,843,3,In Progress
Lebanon,North Londonderry Twp,9  ,48  ,102  ,843,2,In Progress
Centre,Harris Twp,15  ,25  ,82  ,842,1,In Progress
Philadelphia,Philadelphia,2  ,2  ,179  ,841,1,In Progress
Washington,South Strabane Twp,14  ,46  ,48  ,836,8,In Progress
Fayette,North Union Twp,14  ,32  ,51  ,836,2,In Progress
Philadelphia,Philadelphia,2  ,3  ,203  ,833,1,In Progress
Allegheny,Upper St Clair,12  ,37  ,40  ,824,6,In Progress
Allegheny,Mckeesport,12  ,45  ,35  ,824,5,In Progress
Dauphin,West Hanover Twp,10  ,15  ,125  ,823,0,In Progress
Northampton,Lower Nazareth,7  ,18  ,137  ,821,4,In Progress
Chester,Schuylkill Twp,6  ,44  ,157  ,818,2,In Progress
Lancaster,Hempfield West Twp,11  ,36  ,41  ,815,1,In Progress
Chester,Caln Twp,6  ,44  ,74  ,814,1,In Progress
Delaware,Bethel Twp,5  ,9  ,160  ,812,0,In Progress
Bucks,Perkasie Boro,1  ,16  ,143  ,807,0,In Progress
Lancaster,Donegal West Twp,11  ,36  ,98  ,806,0,In Progress
Lackawanna,South Abington,8  ,22  ,114  ,805,0,In Progress
Lebanon,North Lebanon Twp,9  ,48  ,101  ,803,1,In Progress
Chester,East Marlborough Twp,6  ,9  ,158  ,800,0,In Progress
Delaware,Yeadon Boro,5  ,8  ,191  ,799,1,In Progress
Allegheny,Pittsburgh,12  ,43  ,34  ,792,7,In Progress
Westmoreland,Derry Twp,14  ,41  ,59  ,788,17,In Progress
Allegheny,Munhall,12  ,45  ,35  ,787,11,In Progress
Chester,West Chester Boro,6  ,19  ,156  ,787,2,In Progress
Luzerne,Kingston Twp,8  ,20  ,120  ,784,3,In Progress
Crawford,Meadville City,16  ,50  ,6  ,779,7,In Progress
Lancaster,Rapho Twp,11  ,36  ,37  ,771,0,In Progress
Allegheny,Pleasant Hills,12  ,37  ,39  ,756,10,In Progress
Westmoreland,New Kensington,14  ,41  ,55  ,755,19,In Progress
Washington,North Strabane Twp,14  ,46  ,46  ,754,5,In Progress
Blair,Logan Twp,13  ,30  ,79  ,754,0,In Progress
Delaware,Lansdowne Boro,5  ,26  ,164  ,745,0,In Progress
Philadelphia,Philadelphia,2  ,3  ,197  ,745,0,In Progress
Lancaster,Manor Twp,11  ,13  ,97  ,743,0,In Progress
Adams,Cumberland Twp,13  ,33  ,91  ,742,6,In Progress
Chester,New Garden Twp,6  ,9  ,158  ,741,1,In Progress
Luzerne,Hanover Twp,8  ,20  ,119  ,737,4,In Progress
Beaver,Brighton Twp,17  ,47  ,15  ,736,4,In Progress
Philadelphia,Philadelphia,3  ,3  ,190  ,733,1,In Progress
Delaware,Edgmont Twp,5  ,9  ,168  ,733,0,In Progress
Lancaster,Lititz Boro,11  ,36  ,37  ,732,0,In Progress
Allegheny,Forest Hills,17  ,43  ,34  ,730,10,In Progress
Allegheny,Oakmont,17  ,43  ,32  ,730,1,In Progress
Montgomery,Hatboro Boro,4  ,12  ,152  ,727,2,In Progress
Cambria,Richland Twp,13  ,35  ,71  ,725,1,In Progress
Montgomery,Upper Hanover Twp,1  ,24  ,131  ,724,2,In Progress
Chester,East Brandywine Twp,6  ,44  ,155  ,721,0,In Progress
Chester,Valley Twp,6  ,19  ,74  ,714,2,In Progress
Allegheny,Casl Shannon,17  ,45  ,42  ,713,9,In Progress
Lackawanna,Old Forge,8  ,22  ,118  ,713,0,In Progress
Blair,Frankstown Twp,13  ,30  ,80  ,712,3,In Progress
Lebanon,Lebanon City,9  ,48  ,101  ,712,0,In Progress
Luzerne,Butler Twp,8  ,27  ,117  ,710,7,In Progress
Westmoreland,North Huntingdon Twp,12  ,39  ,58  ,709,7,In Progress
Cumberland,Camp Hill Boro,10  ,34  ,103  ,708,0,In Progress
Washington,Chartiers Twp,14  ,46  ,46  ,707,4,In Progress
Allegheny,North Versailles,12  ,45  ,25  ,703,4,In Progress
Northampton,Northampton Boro,7  ,14  ,183  ,702,4,In Progress
Cambria,Johnstown City,13  ,35  ,72  ,696,2,In Progress
Lebanon,South Lebanon Twp,9  ,48  ,101  ,695,0,In Progress
Montgomery,Douglass Twp,4  ,24  ,147  ,694,4,In Progress
Elk,St Marys City,15  ,25  ,75  ,693,3,In Progress
Adams,Oxford Twp,13  ,33  ,193  ,692,5,In Progress
York,East Manchester Twp,10  ,31  ,47  ,692,1,In Progress
Allegheny,Brentwood,12  ,45  ,36  ,691,1,In Progress
Luzerne,Hazleton City,8  ,29  ,116  ,689,11,In Progress
Montgomery,Franconia Twp,1  ,12  ,147  ,689,5,In Progress
Monroe,Pocono,8  ,40  ,115  ,688,17,In Progress
Westmoreland,Lower Burrell,14  ,41  ,60  ,688,2,In Progress
Pike,Lehman Twp,8  ,20  ,189  ,687,0,In Progress
Allegheny,Dormont,17  ,42  ,42  ,686,5,In Progress
Franklin,Washington Twp,13  ,33  ,90  ,686,1,In Progress
Allegheny,Harrison,17  ,38  ,33  ,685,8,In Progress
Allegheny,White Oak,12  ,45  ,35  ,684,10,In Progress
Luzerne,Nanticoke City,8  ,20  ,119  ,683,8,In Progress
Beaver,New Sewickley Twp,17  ,47  ,14  ,683,2,In Progress
Lancaster,Lancaster City,11  ,13  ,49  ,680,0,In Progress
Chester,West Caln Twp,6  ,44  ,74  ,673,1,In Progress
York,Hanover Boro,11  ,28  ,169  ,673,1,In Progress
Lancaster,Lampeter East Twp,11  ,13  ,97  ,671,0,In Progress
Chester,Penn Twp,6  ,19  ,13  ,669,3,In Progress
Allegheny,Indiana,17  ,38  ,33  ,667,8,In Progress
Lackawanna,Archbald,8  ,40  ,112  ,665,0,In Progress
Lycoming,Loyalsock Twp,9  ,23  ,83  ,663,6,In Progress
Monroe,Stroud,8  ,40  ,189  ,660,18,In Progress
Bucks,West Rockhill Twp,1  ,16  ,145  ,658,0,In Progress
Berks,Reading,6  ,11  ,127  ,658,0,In Progress
Chester,East Fallowfield Twp,6  ,19  ,158  ,652,1,In Progress
Northampton,Allen Twsp,7  ,14  ,183  ,644,11,In Progress
Lancaster,Manheim Twp,11  ,36  ,97  ,643,0,In Progress
Delaware,Swarthmore Boro,5  ,26  ,165  ,635,0,In Progress
Monroe,Hamilton,8  ,40  ,176  ,634,16,In Progress
Westmoreland,Allegheny Twp,14  ,41  ,60  ,630,24,In Progress
Lebanon,South Londonderry Twp,9  ,48  ,98  ,630,6,In Progress
Philadelphia,Philadelphia,3  ,3  ,198  ,630,2,In Progress
Berks,Amity Twp,4  ,24  ,128  ,630,0,In Progress
Northampton,Palmer,7  ,18  ,136  ,628,6,In Progress
Lebanon,Cornwall Boro,9  ,48  ,101  ,628,1,In Progress
Monroe,Tobyhanna,8  ,40  ,176  ,625,21,In Progress
Butler,Center Twp,16  ,21  ,8  ,625,0,In Progress
Philadelphia,Philadelphia,3  ,3  ,181  ,624,1,In Progress
Allegheny,Fox Chapel,17  ,38  ,33  ,623,4,In Progress
Centre,Spring Twp,15  ,25  ,171  ,623,1,In Progress
Monroe,Middle Smithfield,8  ,40  ,115  ,622,13,In Progress
Berks,Cumru Twp,6  ,11  ,128  ,618,2,In Progress
Bucks,Bristol Boro,1  ,10  ,141  ,618,0,In Progress
Dauphin,Harrisburg,10  ,15  ,104  ,617,0,In Progress
Luzerne,Wright Twp,8  ,27  ,119  ,614,3,In Progress
Beaver,Chippewa Twp,17  ,47  ,14  ,610,2,In Progress
Philadelphia,Philadelphia,2  ,1  ,177  ,610,0,In Progress
Adams,Straban Twp,13  ,33  ,91  ,609,12,In Progress
Lehigh,Upper Macungie,7  ,16  ,187  ,609,7,In Progress
Chester,East Goshen Twp,6  ,19  ,167  ,605,1,In Progress
Dauphin,South Hanover Twp,10  ,15  ,106   ,602,0,In Progress
Montgomery,Franconia Twp,1  ,12  ,53  ,601,1,In Progress
York,West Manheim Twp,11  ,28  ,169  ,598,1,In Progress
Monroe,Middle Smithfield,8  ,40  ,189  ,590,20,In Progress
Butler,Middlesex Twp,16  ,47  ,8  ,590,0,In Progress
Delaware,Middletown Twp,5  ,9  ,161  ,587,0,In Progress
Adams,Conewago Twp,13  ,33  ,91  ,586,5,In Progress
Philadelphia,Philadelphia,2  ,3  ,179  ,586,0,In Progress
Philadelphia,Philadelphia,3  ,1  ,181  ,585,2,In Progress
Westmoreland,Washington Twp,14  ,41  ,55  ,584,1,In Progress
Allegheny,Wilkins,12  ,43  ,34  ,582,13,In Progress
Chester,Honeybrook Twp,6  ,44  ,74  ,582,1,In Progress
Butler,Buffalo Twp,16  ,21  ,11  ,580,1,In Progress
Delaware,Media Boro,5  ,26  ,165  ,580,1,In Progress
Montgomery,Conshohocken Boro,4  ,7  ,54  ,578,2,In Progress
