County,Municipality,USC,STS,STH,Mailed,Not Mailed,Mailing Status
Indiana,Young,14,41,62,54,0,In Progress
Wayne,Lebanon Twp.,8,20,111,53,2,In Progress
Wyoming,Monroe Twp,9,20,110,52,3,In Progress
Butler,Cherry Twp,16,21,17,52,2,In Progress
Lackawanna,Thornhurst,8,40,113,52,0,In Progress
Wayne,Manchester Twp.,8,20,111,50,0,In Progress
Indiana,North Mahoning,15,41,66,49,0,In Progress
Indiana,Buffington,14,41,62,49,0,In Progress
Cumberland,South Newton Twp,10,34,193,48,1,In Progress
Lycoming,Washington Twp,15,23,83,47,1,In Progress
Lackawanna,North Abington,8,22,114,47,0,In Progress
Butler,Mercer Twp,16,21,17,46,2,In Progress
Indiana,East Mahoning,15,41,66,46,0,In Progress
Butler,Washington Twp,16,21,17,45,1,In Progress
Indiana,South Mahoning,14,41,66,45,0,In Progress
Wayne,Oregon Twp.,8,20,111,45,0,In Progress
Lycoming,Cogan House Twp,15,23,84,44,0,In Progress
Wayne,Buckingham Twp.,8,20,111,43,0,In Progress
Lycoming,Muncy Twp,9,23,84,42,1,In Progress
Indiana,Canoe,15,41,66,42,0,In Progress
Wayne,Bethany Boro.,8,20,111,41,1,In Progress
Wyoming,Exeter Twp,9,20,110,40,1,In Progress
Cumberland,Upper Mifflin Twp,13,34,199,40,0,In Progress
Indiana,Saltsburg,14,41,62,37,0,In Progress
Lycoming,Gamble Twp,15,23,84,36,1,In Progress
Lycoming,Penn Twp,9,23,84,36,0,In Progress
Lycoming,Mifflin Twp,15,23,84,35,2,In Progress
Lycoming,Jordan Twp,9,23,84,34,0,In Progress
Wyoming,Washington Twp,9,20,110,33,2,In Progress
Lycoming,Anthony Twp,15,23,84,32,0,In Progress
Lycoming,Piatt Twp,15,23,84,32,0,In Progress
Butler,Harrisville Boro,16,21,17,31,2,In Progress
Lycoming,Watson Twp,15,23,84,31,0,In Progress
Lycoming,Franklin Twp,9,23,84,30,0,In Progress
Wyoming,Meshoppen Twp,9,20,110,29,1,In Progress
Lycoming,Duboistown Boro,15,23,83,29,1,In Progress
Lycoming,Moreland Twp,9,23,84,29,0,In Progress
Indiana,Grant,15,41,66,27,0,In Progress
Lycoming,Armstrong Twp,15,23,83,27,0,In Progress
Lycoming,Lewis Twp,15,23,84,27,0,In Progress
Lycoming,Plunketts Creek Twp,9,23,84,26,0,In Progress
Lycoming,Montgomery Boro,9,23,83,26,0,In Progress
Wyoming,Factoryville Boro,9,20,110,26,0,In Progress
Lycoming,Mill Creek Twp,9,23,84,26,0,In Progress
Wyoming,Nicholson Boro,9,20,110,25,3,In Progress
Wyoming,Mehoopany Twp,9,20,110,25,0,In Progress
